date,MACD,MACD_Signal,MACD_Hist
2018-09-17,-0.0641,-0.0483,-0.0157
2018-09-14,-0.061,-0.0444,-0.0166
2018-09-13,-0.0561,-0.0403,-0.0158
2018-09-12,-0.0491,-0.0363,-0.0128
2018-09-11,-0.0425,-0.0331,-0.0094
2018-09-10,-0.0365,-0.0308,-0.0057
2018-09-07,-0.0405,-0.0293,-0.0112
2018-09-06,-0.0431,-0.0265,-0.0165
2018-09-05,-0.0365,-0.0224,-0.0141
2018-09-04,-0.0368,-0.0189,-0.0179
2018-08-31,-0.0294,-0.0144,-0.015
2018-08-30,-0.0318,-0.0107,-0.0212
2018-08-29,-0.0233,-0.0054,-0.0179
2018-08-28,-0.0151,-0.0009,-0.0142
2018-08-27,-0.0084,0.0027,-0.0111
2018-08-24,0.0002,0.0054,-0.0053
2018-08-23,0.003,0.0068,-0.0038
2018-08-22,0.0025,0.0077,-0.0052
2018-08-21,0.0048,0.009000000000000001,-0.0042
2018-08-20,0.0088,0.0101,-0.0013
2018-08-17,0.0137,0.0104,0.0033
2018-08-16,0.0147,0.0095,0.0052
2018-08-15,0.0147,0.0083,0.0065
2018-08-14,0.0156,0.0066,0.009000000000000001
2018-08-13,0.0215,0.0044,0.0171
2018-08-10,0.0258,0.0001,0.0257
2018-08-09,0.0186,-0.0063,0.0249
2018-08-08,0.0122,-0.0125,0.0247
2018-08-07,-0.0079,-0.0187,0.0108
2018-08-06,-0.0309,-0.0214,-0.0095
2018-08-03,-0.0342,-0.019,-0.0152
2018-08-02,-0.033,-0.0152,-0.0177
2018-08-01,-0.0268,-0.0108,-0.016
2018-07-31,-0.0226,-0.0068,-0.0158
2018-07-30,-0.0159,-0.0029,-0.0131
2018-07-27,-0.0081,0.0004,-0.0086
2018-07-26,-0.0063,0.0025,-0.0088
2018-07-25,-0.0054,0.0048,-0.0102
2018-07-24,-0.0026,0.0073,-0.0099
2018-07-23,0.002,0.0098,-0.0077
2018-07-20,0.0069,0.0117,-0.0048
2018-07-19,0.01,0.0129,-0.0029
2018-07-18,0.0137,0.0136,0.0001
2018-07-17,0.0122,0.0136,-0.0014
2018-07-16,0.0059,0.014,-0.0081
2018-07-13,0.004,0.016,-0.012
2018-07-12,0.0025,0.019,-0.0164
2018-07-11,0.0027,0.0231,-0.0204
2018-07-10,0.0028,0.0282,-0.0254
2018-07-09,0.005,0.0345,-0.0296
2018-07-06,0.0067,0.0419,-0.0353
2018-07-05,0.0117,0.0507,-0.039
2018-07-03,0.0191,0.0605,-0.0414
2018-07-02,0.0343,0.0708,-0.0365
2018-06-29,0.0532,0.08,-0.0267
2018-06-28,0.0695,0.0867,-0.0172
2018-06-27,0.0801,0.0909,-0.0109
2018-06-26,0.0954,0.0937,0.0018
2018-06-25,0.0974,0.0932,0.0042
2018-06-22,0.1005,0.0922,0.0083
2018-06-21,0.1,0.0901,0.0099
2018-06-20,0.1039,0.0876,0.0163
2018-06-19,0.1044,0.0836,0.0208
2018-06-18,0.1066,0.0784,0.0282
2018-06-15,0.1027,0.0713,0.0314
2018-06-14,0.0911,0.0635,0.0277
2018-06-13,0.0791,0.0565,0.0226
2018-06-12,0.0627,0.0509,0.0118
2018-06-11,0.05,0.0479,0.002
2018-06-08,0.0523,0.0474,0.0049
2018-06-07,0.0546,0.0462,0.0084
2018-06-06,0.0566,0.0441,0.0125
2018-06-05,0.0594,0.041,0.0185
2018-06-04,0.0612,0.0364,0.0248
2018-06-01,0.0635,0.0302,0.0334
2018-05-31,0.0554,0.0218,0.0336
2018-05-30,0.0422,0.0134,0.0287
2018-05-29,0.0328,0.0062,0.0266
2018-05-25,0.0205,-0.0004,0.0209
2018-05-24,0.0064,-0.0056,0.012
2018-05-23,-0.0076,-0.0086,0.001
2018-05-22,-0.0141,-0.0089,-0.0053
2018-05-21,-0.0162,-0.0076,-0.0086
2018-05-18,-0.0144,-0.0054,-0.009000000000000001
2018-05-17,-0.0182,-0.0032,-0.015
2018-05-16,-0.0206,0.0006,-0.0212
2018-05-15,-0.0234,0.0059,-0.0292
2018-05-14,-0.0205,0.0132,-0.0337
2018-05-11,-0.0094,0.0216,-0.031
2018-05-10,0.0049,0.0293,-0.0244
2018-05-09,0.021,0.0355,-0.0144
2018-05-08,0.0383,0.0391,-0.0008
2018-05-07,0.0414,0.0392,0.0022
2018-05-04,0.0428,0.0387,0.0041
2018-05-03,0.0428,0.0377,0.0052
2018-05-02,0.045,0.0364,0.0086
2018-05-01,0.0454,0.0343,0.0112
2018-04-30,0.0423,0.0315,0.0108
2018-04-27,0.0315,0.0288,0.0028
2018-04-26,0.0194,0.0281,-0.0087
2018-04-25,0.0179,0.0302,-0.0123
2018-04-24,0.0167,0.0333,-0.0166
2018-04-23,0.0211,0.0375,-0.0164
2018-04-20,0.0263,0.0416,-0.0152
2018-04-19,0.0306,0.0454,-0.0147
2018-04-18,0.0357,0.049,-0.0134
2018-04-17,0.0395,0.0524,-0.0128
2018-04-16,0.0398,0.0556,-0.0158
2018-04-13,0.0458,0.0595,-0.0138
2018-04-12,0.0486,0.063,-0.0144
2018-04-11,0.0474,0.0666,-0.0192
2018-04-10,0.0482,0.0714,-0.0232
2018-04-09,0.0547,0.0772,-0.0225
2018-04-06,0.0601,0.0828,-0.0228
2018-04-05,0.0621,0.0885,-0.0265
2018-04-04,0.0688,0.0952,-0.0263
2018-04-03,0.0733,0.1017,-0.0284
2018-04-02,0.077,0.1088,-0.0318
2018-03-29,0.0898,0.1168,-0.027000000000000003
2018-03-28,0.0956,0.1236,-0.028
2018-03-27,0.1077,0.1306,-0.0228
2018-03-26,0.1206,0.1363,-0.0157
2018-03-23,0.1343,0.1402,-0.0059
2018-03-22,0.1559,0.1417,0.0143
2018-03-21,0.16899999999999998,0.1381,0.031
2018-03-20,0.1782,0.1303,0.0479
2018-03-19,0.1579,0.1184,0.0395
2018-03-16,0.152,0.1085,0.0434
2018-03-15,0.1402,0.0976,0.0425
2018-03-14,0.1322,0.087,0.0452
2018-03-13,0.1212,0.0757,0.0455
2018-03-12,0.1125,0.0643,0.0482
2018-03-09,0.1039,0.0523,0.0516
2018-03-08,0.0852,0.0394,0.0458
2018-03-07,0.0591,0.0279,0.0312
2018-03-06,0.0422,0.0201,0.0221
2018-03-05,0.0231,0.0146,0.0085
2018-03-02,0.0188,0.0125,0.0063
2018-03-01,0.0191,0.0109,0.0082
2018-02-28,0.0203,0.0088,0.0114
2018-02-27,0.0184,0.006,0.0124
2018-02-26,0.0086,0.0029,0.0057
2018-02-23,0.0041,0.0014,0.0026
2018-02-22,0.0023,0.0008,0.0015
2018-02-21,0.0021,0.0004,0.0017
2018-02-20,0.0028,-0.0,0.0029
2018-02-16,0.0027,-0.0008,0.0034
2018-02-15,0.0004,-0.0016,0.002
2018-02-14,-0.0005,-0.0021,0.0017
2018-02-13,-0.0016,-0.0025,0.001
2018-02-12,-0.0019,-0.0028,0.0009
2018-02-09,-0.0003,-0.003,0.0027
2018-02-08,0.0008,-0.0037,0.0045
2018-02-07,-0.003,-0.0048,0.0018
2018-02-06,-0.0078,-0.0053,-0.0025
2018-02-05,-0.0168,-0.0046,-0.0122
2018-02-02,-0.0209,-0.0016,-0.0193
2018-02-01,-0.0178,0.0032,-0.021
2018-01-31,-0.0165,0.0085,-0.025
2018-01-30,-0.0076,0.0147,-0.0223
2018-01-29,-0.0021,0.0203,-0.0225
2018-01-26,0.0089,0.0259,-0.0171
2018-01-25,0.0147,0.0302,-0.0155
2018-01-24,0.0199,0.0341,-0.0142
2018-01-23,0.0262,0.0376,-0.0115
2018-01-22,0.0297,0.0405,-0.0108
2018-01-19,0.0349,0.0432,-0.0083
2018-01-18,0.04,0.0453,-0.0053
2018-01-17,0.0479,0.0466,0.0013
2018-01-16,0.0563,0.0463,0.01
2018-01-12,0.0591,0.0438,0.0152
2018-01-11,0.0556,0.04,0.0156
2018-01-10,0.0565,0.0361,0.0204
2018-01-09,0.0569,0.031,0.0259
2018-01-08,0.0575,0.0245,0.033
2018-01-05,0.0524,0.0163,0.0361
2018-01-04,0.0421,0.0072,0.0348
2018-01-03,0.0282,-0.0015,0.0297
2018-01-02,0.0112,-0.0089,0.0201
2017-12-29,-0.0066,-0.0139,0.0073
2017-12-28,0.0002,-0.0157,0.016
2017-12-27,0.0039,-0.0197,0.0236
2017-12-26,0.0034,-0.0256,0.0291
2017-12-22,0.0018,-0.0329,0.0347
2017-12-21,0.0006,-0.0416,0.0422
2017-12-20,-0.0006,-0.0521,0.0515
2017-12-19,-0.0146,-0.065,0.0505
2017-12-18,-0.0238,-0.0776,0.0538
2017-12-15,-0.0478,-0.0911,0.0433
2017-12-14,-0.0613,-0.1019,0.0406
2017-12-13,-0.0757,-0.112,0.0363
2017-12-12,-0.1123,-0.1211,0.0088
2017-12-11,-0.1157,-0.1233,0.0077
2017-12-08,-0.1162,-0.1252,0.009000000000000001
2017-12-07,-0.1203,-0.1275,0.0072
2017-12-06,-0.1207,-0.1293,0.0086
2017-12-05,-0.1205,-0.1314,0.0109
2017-12-04,-0.1226,-0.1342,0.0115
2017-12-01,-0.1235,-0.13699999999999998,0.0135
2017-11-30,-0.1238,-0.1404,0.0166
2017-11-29,-0.1245,-0.1446,0.0201
2017-11-28,-0.1296,-0.1496,0.02
2017-11-27,-0.1353,-0.1546,0.0193
2017-11-24,-0.1436,-0.1594,0.0158
2017-11-22,-0.1542,-0.1634,0.0091
2017-11-21,-0.1614,-0.1657,0.0042
2017-11-20,-0.1622,-0.1667,0.0045
2017-11-17,-0.1669,-0.1679,0.001
2017-11-16,-0.1745,-0.1681,-0.0064
2017-11-15,-0.1788,-0.1665,-0.0123
2017-11-14,-0.1795,-0.1634,-0.016
2017-11-13,-0.1737,-0.1594,-0.0143
2017-11-10,-0.175,-0.1559,-0.0191
2017-11-09,-0.1792,-0.1511,-0.0281
2017-11-08,-0.1819,-0.14400000000000002,-0.0379
2017-11-07,-0.1817,-0.1346,-0.0471
2017-11-06,-0.1789,-0.1228,-0.0561
2017-11-03,-0.1757,-0.1088,-0.0669
2017-11-02,-0.16899999999999998,-0.0921,-0.077
2017-11-01,-0.155,-0.0728,-0.0822
2017-10-31,-0.138,-0.0523,-0.0857
2017-10-30,-0.1203,-0.0308,-0.0895
2017-10-27,-0.0828,-0.0084,-0.0744
2017-10-26,-0.0469,0.0102,-0.0571
2017-10-25,-0.0188,0.0244,-0.0432
2017-10-24,-0.0101,0.0352,-0.0453
2017-10-23,-0.0029,0.0466,-0.0495
2017-10-20,0.0052,0.059,-0.0537
2017-10-19,0.0125,0.0724,-0.0598
2017-10-18,0.0237,0.0873,-0.0636
2017-10-17,0.0377,0.1032,-0.0656
2017-10-16,0.0559,0.1196,-0.0637
2017-10-13,0.0753,0.1356,-0.0602
2017-10-12,0.0878,0.1506,-0.0628
2017-10-11,0.1035,0.1663,-0.0628
2017-10-10,0.121,0.182,-0.061
2017-10-09,0.1416,0.1973,-0.0557
2017-10-06,0.1658,0.2112,-0.0455
2017-10-05,0.1861,0.2226,-0.0365
2017-10-04,0.2175,0.2317,-0.0142
2017-10-03,0.2544,0.2353,0.0191
2017-10-02,0.2937,0.2305,0.0632
2017-09-29,0.3152,0.2147,0.1005
2017-09-28,0.2993,0.1896,0.1097
2017-09-27,0.2737,0.1622,0.1115
2017-09-26,0.2187,0.1343,0.0844
2017-09-25,0.1799,0.1132,0.0667
2017-09-22,0.1461,0.0965,0.0496
2017-09-21,0.1162,0.0841,0.032
2017-09-20,0.0895,0.0761,0.0133
2017-09-19,0.0785,0.0728,0.0057
2017-09-18,0.0766,0.0714,0.0053
2017-09-15,0.0752,0.07,0.0051
2017-09-14,0.062,0.0688,-0.0067
2017-09-13,0.0576,0.0704,-0.0129
2017-09-12,0.0633,0.0737,-0.0104
2017-09-11,0.0706,0.0763,-0.0056
2017-09-08,0.0739,0.0777,-0.0038
2017-09-07,0.0781,0.0786,-0.0006
2017-09-06,0.0822,0.0788,0.0035
2017-09-05,0.0863,0.0779,0.0084
2017-09-01,0.0893,0.0758,0.0135
2017-08-31,0.0846,0.0724,0.0122
2017-08-30,0.0775,0.0694,0.0081
2017-08-29,0.0662,0.0673,-0.0011
2017-08-28,0.0641,0.0676,-0.0036
2017-08-25,0.0676,0.0685,-0.001
2017-08-24,0.071,0.0688,0.0023
2017-08-23,0.0703,0.0682,0.0021
2017-08-22,0.0694,0.0677,0.0018
2017-08-21,0.0704,0.0672,0.0031
2017-08-18,0.0705,0.0664,0.0041
2017-08-17,0.0717,0.0654,0.0063
2017-08-16,0.0763,0.0638,0.0124
2017-08-15,0.08199999999999999,0.0607,0.0212
2017-08-14,0.081,0.0554,0.0255
2017-08-11,0.0744,0.049,0.0254
2017-08-10,0.067,0.0427,0.0243
2017-08-09,0.0617,0.0366,0.0251
2017-08-08,0.0601,0.0303,0.0298
2017-08-07,0.0562,0.0229,0.0333
2017-08-04,0.0341,0.0146,0.0195
2017-08-03,0.0298,0.0097,0.0201
2017-08-02,0.0229,0.0046,0.0183
2017-08-01,0.0209,0.0001,0.0208
2017-07-31,0.014,-0.0051,0.0191
2017-07-28,0.009000000000000001,-0.0099,0.0189
2017-07-27,-0.0047,-0.0146,0.0099
2017-07-26,-0.0139,-0.0171,0.0032
2017-07-25,-0.0203,-0.0179,-0.0024
2017-07-24,-0.0201,-0.0173,-0.0029
2017-07-21,-0.0196,-0.0166,-0.003
2017-07-20,-0.0196,-0.0158,-0.0038
2017-07-19,-0.0194,-0.0149,-0.0045
2017-07-18,-0.0177,-0.0138,-0.004
2017-07-17,-0.0195,-0.0128,-0.0067
2017-07-14,-0.0194,-0.0111,-0.0083
2017-07-13,-0.019,-0.009000000000000001,-0.01
2017-07-12,-0.0172,-0.0065,-0.0107
2017-07-11,-0.0167,-0.0038,-0.0129
2017-07-10,-0.0158,-0.0006,-0.0152
2017-07-07,-0.0165,0.0032,-0.0197
2017-07-06,-0.015,0.0082,-0.0232
2017-07-05,-0.0099,0.014,-0.0239
2017-07-03,-0.0033,0.0199,-0.0232
2017-06-30,0.0073,0.0257,-0.0185
2017-06-29,0.0196,0.0304,-0.0107
2017-06-28,0.025,0.033,-0.0081
2017-06-27,0.0283,0.0351,-0.0067
2017-06-26,0.0312,0.0367,-0.0055
2017-06-23,0.0334,0.0381,-0.0047
2017-06-22,0.0368,0.0393,-0.0025
2017-06-21,0.0374,0.0399,-0.0025
2017-06-20,0.0377,0.0405,-0.0028
2017-06-19,0.0386,0.0412,-0.0026
2017-06-16,0.0371,0.0419,-0.0048
2017-06-15,0.0418,0.0431,-0.0013
2017-06-14,0.0452,0.0434,0.0017
2017-06-13,0.0467,0.043,0.0037
2017-06-12,0.047,0.0421,0.005
2017-06-09,0.0488,0.0408,0.008
2017-06-08,0.0421,0.0388,0.0033
2017-06-07,0.0402,0.038,0.0022
2017-06-06,0.0412,0.0375,0.0037
2017-06-05,0.0419,0.0365,0.0053
2017-06-02,0.0462,0.0352,0.011
2017-06-01,0.0478,0.0324,0.0154
2017-05-31,0.0504,0.0286,0.0218
2017-05-30,0.0498,0.0232,0.0267
2017-05-26,0.0383,0.0165,0.0218
2017-05-25,0.027000000000000003,0.011,0.016
2017-05-24,0.0154,0.006999999999999999,0.0083
2017-05-23,0.0084,0.0049,0.0034
2017-05-22,0.0064,0.0041,0.0024
2017-05-19,0.0069,0.0035,0.0034
2017-05-18,0.0044,0.0026,0.0018
2017-05-17,0.0032,0.0022,0.001
2017-05-16,0.0036,0.0019,0.0017
2017-05-15,0.0041,0.0015,0.0026
2017-05-12,0.0026,0.0009,0.0018
2017-05-11,0.0048,0.0004,0.0043
2017-05-10,0.0034,-0.0007,0.004
2017-05-09,0.0032,-0.0017,0.0048
2017-05-08,0.0033,-0.0029,0.0062
2017-05-05,0.0023,-0.0044,0.0068
2017-05-04,0.0031,-0.0061,0.0092
2017-05-03,0.0031,-0.0084,0.0115
2017-05-02,0.001,-0.0113,0.0123
2017-05-01,-0.0048,-0.0144,0.0096
2017-04-28,-0.0091,-0.0167,0.0077
2017-04-27,-0.0144,-0.0187,0.0043
2017-04-26,-0.022,-0.0197,-0.0022
2017-04-25,-0.0252,-0.0192,-0.0061
2017-04-24,-0.0229,-0.0177,-0.0053
2017-04-21,-0.0208,-0.0164,-0.0044
2017-04-20,-0.0196,-0.0152,-0.0044
2017-04-19,-0.0189,-0.0142,-0.0048
2017-04-18,-0.0171,-0.013,-0.0041
2017-04-17,-0.0142,-0.0119,-0.0023
2017-04-13,-0.0123,-0.0114,-0.0009
2017-04-12,-0.0157,-0.0111,-0.0046
2017-04-11,-0.0209,-0.01,-0.0109
2017-04-10,-0.0171,-0.0073,-0.0098
2017-04-07,-0.0141,-0.0048,-0.0093
2017-04-06,-0.01,-0.0025,-0.0075
2017-04-05,-0.0076,-0.0006,-0.006999999999999999
2017-04-04,-0.0045,0.0011,-0.0056
2017-04-03,-0.0024,0.0026,-0.005
2017-03-31,0.0012,0.0038,-0.0026
2017-03-30,0.0048,0.0044,0.0004
2017-03-29,0.0063,0.0043,0.002
2017-03-28,0.0061,0.0039,0.0023
2017-03-27,0.0078,0.0033,0.0045
2017-03-24,0.0067,0.0022,0.0046
2017-03-23,0.0038,0.001,0.0028
2017-03-22,0.0015,0.0003,0.0011
2017-03-21,0.0006,0.0001,0.0005
2017-03-20,0.0024,-0.0001,0.0025
2017-03-17,-0.0013,-0.0007,-0.0006
2017-03-16,0.002,-0.0005,0.0026
2017-03-15,0.0012,-0.0012,0.0024
2017-03-14,0.0022,-0.0018,0.004
2017-03-13,0.0004,-0.0028,0.0032
2017-03-10,-0.003,-0.0036,0.0006
2017-03-09,-0.0032,-0.0037,0.0005
2017-03-08,-0.0054,-0.0039,-0.0016
2017-03-07,-0.0082,-0.0035,-0.0048
2017-03-06,-0.0076,-0.0023,-0.0053
2017-03-03,-0.0076,-0.001,-0.0067
2017-03-02,-0.0056,0.0007,-0.0063
2017-03-01,-0.0049,0.0023,-0.0072
2017-02-28,-0.0019,0.0041,-0.006
2017-02-27,0.0008,0.0056,-0.0047
2017-02-24,0.0003,0.0068,-0.0065
2017-02-23,-0.0014,0.0084,-0.0098
2017-02-22,0.0036,0.0108,-0.0072
2017-02-21,0.0099,0.0126,-0.0027
2017-02-17,0.0128,0.0133,-0.0005
2017-02-16,0.0152,0.0134,0.0017
2017-02-15,0.016,0.013,0.0029
2017-02-14,0.0147,0.0123,0.0024
2017-02-13,0.0129,0.0117,0.0013
2017-02-10,0.0115,0.0114,0.0001
2017-02-09,0.0105,0.0113,-0.0009
2017-02-08,0.0126,0.0115,0.001
2017-02-07,0.0136,0.0113,0.0023
2017-02-06,0.0146,0.0107,0.0039
2017-02-03,0.0148,0.0097,0.005
2017-02-02,0.0157,0.0085,0.0073
2017-02-01,0.0147,0.0067,0.0081
2017-01-31,0.0132,0.0046,0.0086
2017-01-30,0.0156,0.0025,0.0132
2017-01-27,0.0129,-0.0008,0.0137
2017-01-26,0.0042,-0.0042,0.0084
2017-01-25,0.0001,-0.0063,0.0065
2017-01-24,-0.002,-0.008,0.006
2017-01-23,-0.0047,-0.0095,0.0047
2017-01-20,-0.0061,-0.0106,0.0046
2017-01-19,-0.0077,-0.0118,0.0041
2017-01-18,-0.0066,-0.0128,0.0062
2017-01-17,-0.0092,-0.0143,0.0051
2017-01-13,-0.0114,-0.0156,0.0042
2017-01-12,-0.0117,-0.0167,0.0049
2017-01-11,-0.0119,-0.0179,0.0061
2017-01-10,-0.0142,-0.0194,0.0052
2017-01-09,-0.0171,-0.0207,0.0037
2017-01-06,-0.0225,-0.0216,-0.0008
2017-01-05,-0.027000000000000003,-0.0214,-0.0056
2017-01-04,-0.0309,-0.02,-0.0109
2017-01-03,-0.0309,-0.0173,-0.0136
2016-12-30,-0.0273,-0.0139,-0.0134
2016-12-29,-0.0213,-0.0106,-0.0107
2016-12-28,-0.0174,-0.0079,-0.0095
2016-12-27,-0.0173,-0.0055,-0.0118
2016-12-23,-0.016,-0.0025,-0.0134
2016-12-22,-0.0129,0.0008,-0.0137
2016-12-21,-0.0098,0.0042,-0.0141
2016-12-20,-0.0064,0.0078,-0.0141
2016-12-19,-0.0013,0.0113,-0.0125
2016-12-16,0.0053,0.0144,-0.0091
2016-12-15,0.0095,0.0167,-0.0072
2016-12-14,0.0137,0.0185,-0.0048
2016-12-13,0.0188,0.0197,-0.0009
2016-12-12,0.0231,0.0199,0.0032
2016-12-09,0.0272,0.0191,0.0081
2016-12-08,0.026,0.0171,0.0088
2016-12-07,0.0229,0.0149,0.008
2016-12-06,0.0208,0.0129,0.0079
2016-12-05,0.0198,0.0109,0.0089
2016-12-02,0.0192,0.0087,0.0106
2016-12-01,0.0193,0.0061,0.0132
2016-11-30,0.0211,0.0027,0.0183
2016-11-29,0.017,-0.0018,0.0188
2016-11-28,0.0176,-0.0065,0.0241
2016-11-25,0.0171,-0.0126,0.0297
2016-11-23,0.0142,-0.02,0.0342
2016-11-22,0.0113,-0.0285,0.0398
2016-11-21,0.0074,-0.0385,0.0459
2016-11-18,-0.0058,-0.05,0.0442
2016-11-17,-0.0266,-0.061,0.0344
2016-11-16,-0.0518,-0.0696,0.0179
2016-11-15,-0.0638,-0.0741,0.0103
2016-11-14,-0.0767,-0.0767,-0.0
2016-11-11,-0.0799,-0.0767,-0.0033
2016-11-10,-0.0803,-0.0759,-0.0044
2016-11-09,-0.0808,-0.0748,-0.006
2016-11-08,-0.079,-0.0732,-0.0057
2016-11-07,-0.0776,-0.0718,-0.0058
2016-11-04,-0.0808,-0.0704,-0.0104
2016-11-03,-0.0837,-0.0678,-0.0159
2016-11-02,-0.0821,-0.0638,-0.0183
2016-11-01,-0.0759,-0.0592,-0.0167
2016-10-31,-0.0637,-0.055,-0.0087
2016-10-28,-0.0605,-0.0529,-0.0077
2016-10-27,-0.056,-0.0509,-0.005
2016-10-26,-0.051,-0.0497,-0.0013
2016-10-25,-0.048,-0.0494,0.0014
2016-10-24,-0.0515,-0.0497,-0.0018
2016-10-21,-0.0543,-0.0493,-0.0051
2016-10-20,-0.0581,-0.048,-0.0101
2016-10-19,-0.0611,-0.0455,-0.0156
2016-10-18,-0.0558,-0.0415,-0.0143
2016-10-17,-0.0494,-0.038,-0.0114
2016-10-14,-0.0454,-0.0351,-0.0103
2016-10-13,-0.0418,-0.0326,-0.0093
2016-10-12,-0.0366,-0.0302,-0.0064
2016-10-11,-0.0305,-0.0286,-0.0018
2016-10-10,-0.0293,-0.0282,-0.0011
2016-10-07,-0.0304,-0.0279,-0.0025
2016-10-06,-0.0303,-0.0273,-0.0031
2016-10-05,-0.0309,-0.0265,-0.0043
2016-10-04,-0.028,-0.0254,-0.0026
2016-10-03,-0.026,-0.0248,-0.0013
2016-09-30,-0.0252,-0.0245,-0.0007
2016-09-29,-0.0257,-0.0243,-0.0014
2016-09-28,-0.0209,-0.0239,0.003
2016-09-27,-0.0217,-0.0247,0.003
2016-09-26,-0.0253,-0.0255,0.0001
2016-09-23,-0.0317,-0.0255,-0.0062
2016-09-22,-0.0343,-0.0239,-0.0103
2016-09-21,-0.032,-0.0213,-0.0106
2016-09-20,-0.0286,-0.0187,-0.0099
2016-09-19,-0.0238,-0.0162,-0.0076
2016-09-16,-0.0235,-0.0143,-0.0091
2016-09-15,-0.0227,-0.0121,-0.0106
2016-09-14,-0.0183,-0.0094,-0.0089
2016-09-13,-0.0115,-0.0072,-0.0043
2016-09-12,-0.0087,-0.0061,-0.0026
2016-09-09,-0.006999999999999999,-0.0054,-0.0016
2016-09-08,-0.0058,-0.005,-0.0008
2016-09-07,-0.0073,-0.0048,-0.0024
2016-09-06,-0.006999999999999999,-0.0042,-0.0028
2016-09-02,-0.0085,-0.0035,-0.005
2016-09-01,-0.0083,-0.0023,-0.006
2016-08-31,-0.0069,-0.0008,-0.0062
2016-08-30,-0.0061,0.0008,-0.0069
2016-08-29,-0.0029,0.0025,-0.0054
2016-08-26,-0.0018,0.0038,-0.0057
2016-08-25,-0.0004,0.0052,-0.0057
2016-08-24,0.0014,0.0067,-0.0053
2016-08-23,0.0026,0.008,-0.0054
2016-08-22,0.0042,0.0093,-0.0052
2016-08-19,0.0071,0.0106,-0.0035
2016-08-18,0.0087,0.0115,-0.0028
2016-08-17,0.0107,0.0122,-0.0015
2016-08-16,0.0119,0.0126,-0.0006
2016-08-15,0.0115,0.0128,-0.0013
2016-08-12,0.0127,0.0131,-0.0004
2016-08-11,0.0171,0.0132,0.0039
2016-08-10,0.0234,0.0122,0.0112
2016-08-09,0.0261,0.0094,0.0168
2016-08-08,0.0241,0.0052,0.0189
2016-08-05,0.0202,0.0005,0.0197
2016-08-04,0.0097,-0.0045,0.0142
2016-08-03,-0.0021,-0.008,0.0059
2016-08-02,-0.0066,-0.0095,0.0029
2016-08-01,-0.0082,-0.0102,0.002
2016-07-29,-0.0121,-0.0107,-0.0013
2016-07-28,-0.0097,-0.0104,0.0006
2016-07-27,-0.0087,-0.0105,0.0019
2016-07-26,-0.0082,-0.011,0.0028
2016-07-25,-0.0075,-0.0117,0.0042
2016-07-22,-0.0105,-0.0128,0.0023
2016-07-21,-0.0132,-0.0133,0.0001
2016-07-20,-0.0134,-0.0134,-0.0001
2016-07-19,-0.0125,-0.0134,0.0009
2016-07-18,-0.0101,-0.0136,0.0035
2016-07-15,-0.0099,-0.0144,0.0045
2016-07-14,-0.0085,-0.0156,0.006999999999999999
2016-07-13,-0.0087,-0.0173,0.0086
2016-07-12,-0.0129,-0.0195,0.0066
2016-07-11,-0.018000000000000002,-0.0212,0.0032
2016-07-08,-0.0242,-0.0219,-0.0023
2016-07-07,-0.0237,-0.0214,-0.0024
2016-07-06,-0.0248,-0.0208,-0.004
2016-07-05,-0.0267,-0.0198,-0.0069
2016-07-01,-0.0268,-0.0181,-0.0087
2016-06-30,-0.0255,-0.0159,-0.0096
2016-06-29,-0.0225,-0.0135,-0.009000000000000001
2016-06-28,-0.0209,-0.0112,-0.0097
2016-06-27,-0.0159,-0.0088,-0.0071
2016-06-24,-0.0094,-0.006999999999999999,-0.0024
2016-06-23,-0.008,-0.0064,-0.0016
2016-06-22,-0.0062,-0.006,-0.0002
2016-06-21,-0.0058,-0.006,0.0002
2016-06-20,-0.0031,-0.006,0.0029
2016-06-17,-0.0018,-0.0067,0.005
2016-06-16,-0.002,-0.008,0.006
2016-06-15,-0.0053,-0.0095,0.0041
2016-06-14,-0.0065,-0.0105,0.004
2016-06-13,-0.0043,-0.0115,0.0072
2016-06-10,0.0032,-0.0133,0.0165
2016-06-09,0.0045,-0.0174,0.0219
2016-06-08,0.0041,-0.0229,0.027000000000000003
2016-06-07,-0.0016,-0.0297,0.0281
2016-06-06,-0.0139,-0.0367,0.0228
2016-06-03,-0.0222,-0.0424,0.0201
2016-06-02,-0.0285,-0.0474,0.0189
2016-06-01,-0.0321,-0.0521,0.0201
2016-05-31,-0.0361,-0.0572,0.021
2016-05-27,-0.0408,-0.0624,0.0216
2016-05-26,-0.0492,-0.0678,0.0186
2016-05-25,-0.0562,-0.0725,0.0163
2016-05-24,-0.0622,-0.0766,0.0144
2016-05-23,-0.0656,-0.0801,0.0146
2016-05-20,-0.0673,-0.0838,0.0165
2016-05-19,-0.0664,-0.0879,0.0215
2016-05-18,-0.0674,-0.0933,0.0259
2016-05-17,-0.0738,-0.0998,0.026
2016-05-16,-0.0829,-0.1063,0.0234
2016-05-13,-0.0882,-0.1121,0.0239
2016-05-12,-0.0998,-0.1181,0.0183
2016-05-11,-0.1112,-0.1226,0.0115
2016-05-10,-0.1179,-0.1255,0.0076
2016-05-09,-0.1218,-0.1274,0.0056
2016-05-06,-0.1239,-0.1288,0.0049
2016-05-05,-0.1269,-0.13,0.0031
2016-05-04,-0.1278,-0.1308,0.003
